item_id,promo_typeCode,sale_price_before_promo,sale_price_time_promo,date_start,date_end
100551,5.0,159.9,139.9,2023-03-02,2023-03-15
100553,5.0,159.9,139.9,2023-03-02,2023-03-15
100554,5.0,159.9,139.9,2023-03-02,2023-03-15
100558,5.0,159.9,139.9,2023-03-02,2023-03-15
100530,2.0,36.9,24.6,2021-09-09,2021-09-22
100551,8.0,159.9,89.9,2021-11-30,2021-12-08
100553,8.0,159.9,89.9,2021-11-30,2021-12-08
100554,8.0,159.9,89.9,2021-11-30,2021-12-08
100556,8.0,159.9,89.9,2021-11-30,2021-12-08
100558,8.0,159.9,89.9,2021-11-30,2021-12-08
100139,6.0,744.9,629.9,2023-11-07,2023-11-27
100516,10.0,86.9,64.9,2020-02-20,2020-02-23
100453,5.0,119.9,74.9,2021-05-18,2021-05-19
100469,5.0,59.9,42.9,2021-05-18,2021-05-19
100474,5.0,59.9,42.9,2021-05-18,2021-05-19
100165,6.0,59.9,52.9,2023-08-03,2023-08-16
100192,6.0,119.9,96.9,2023-08-03,2023-08-16
100193,6.0,119.9,96.9,2023-08-03,2023-08-16
100228,6.0,139.9,99.9,2023-08-03,2023-08-16
100348,6.0,299.9,229.9,2023-08-03,2023-08-16
100399,6.0,239.9,179.9,2023-08-03,2023-08-16
100455,6.0,119.9,89.9,2023-08-03,2023-08-16
100464,6.0,75.9,69.9,2023-08-03,2023-08-16
100517,6.0,64.9,56.9,2023-08-03,2023-08-16
100544,6.0,229.9,179.9,2023-08-03,2023-08-16
100545,6.0,229.9,179.9,2023-08-03,2023-08-16
100683,6.0,289.9,189.9,2023-08-03,2023-08-16
100686,6.0,309.9,209.9,2023-08-03,2023-08-16
100139,6.0,744.9,629.9,2023-07-04,2023-07-24
100140,6.0,729.9,659.9,2023-07-04,2023-07-24
100370,5.0,339.9,169.9,2020-02-17,2020-02-19
100523,,129.9,99.9,2022-08-18,2022-08-29
100524,,129.9,99.9,2022-08-18,2022-08-29
100525,,129.9,99.9,2022-08-18,2022-08-29
100526,,129.9,99.9,2022-08-18,2022-08-29
100528,,129.9,99.9,2022-08-18,2022-08-29
100638,,149.9,109.9,2022-08-18,2022-08-29
100645,,149.9,109.9,2022-08-18,2022-08-29
100348,5.0,299.9,229.9,2023-10-25,2023-11-08
100354,5.0,419.9,269.9,2023-10-25,2023-11-08
100390,5.0,152.9,119.9,2023-10-25,2023-11-08
100394,5.0,172.0,119.9,2023-10-25,2023-11-08
100454,5.0,75.9,59.9,2023-10-25,2023-11-08
