date,item_id,qnty
2017-01-01,100001,7.0
2017-01-01,100003,2.0
2017-01-01,100006,13.0
2017-01-01,100010,5.0
2017-01-01,100035,53.0
2017-01-01,100045,3.0
2017-01-01,100176,11.0
2017-01-01,100181,2.0
2017-01-01,100192,2.0
2017-01-01,100193,1.0
2017-01-01,100165,1.0
2017-01-01,100346,73.0
2017-01-01,100370,3.0
2017-01-01,100418,1.0
2017-01-01,100448,1.0
2017-01-01,100453,1.0
2017-01-01,100454,4.0
2017-01-01,100455,3.0
2017-01-01,100245,7.0
2017-01-01,100464,1.0
2017-01-01,100473,1.0
2017-01-01,100469,5.0
2017-01-01,100257,1.0
2017-01-01,100510,3.0
2017-01-01,100596,7.0
2017-01-01,100524,4.0
2017-01-01,100525,1.0
2017-01-01,100526,4.0
2017-01-01,100528,3.0
2017-01-01,100530,4.0
2017-01-01,100554,6.0
2017-01-01,100556,5.0
2017-01-01,100558,6.0
2017-01-01,100591,3.0
2017-01-01,100545,6.0
2017-01-01,100602,4.0
2017-01-01,100612,12.0
2017-01-01,100613,1.0
2017-01-01,100614,4.0
2017-01-01,100621,3.0
2017-01-01,100645,2.0
2017-01-01,100646,1.0
2017-01-01,100691,1.0
2017-01-01,100601,1.0
2017-01-01,100523,7.0
2017-01-02,100003,4.0
2017-01-02,100257,6.0
2017-01-02,100245,11.0
2017-01-02,100184,1.0
2017-01-02,100182,3.0
2017-01-02,100006,8.0
2017-01-02,100035,29.0
2017-01-02,100010,7.0
2017-01-02,100510,8.0
2017-01-02,100259,3.0
2017-01-02,100181,2.0
2017-01-02,100045,1.0
2017-01-02,100417,3.0
2017-01-02,100346,32.0
2017-01-02,100471,3.0
2017-01-02,100469,1.0
2017-01-02,100464,3.0
2017-01-02,100455,1.0
2017-01-02,100454,2.0
2017-01-02,100462,4.0
2017-01-02,100448,7.0
2017-01-02,100418,1.0
2017-01-02,100399,1.0
2017-01-02,100386,3.0
2017-01-02,100001,1.0
2017-01-02,100370,3.0
2017-01-02,100473,1.0
2017-01-02,100646,1.0
2017-01-02,100516,4.0
2017-01-02,100651,4.0
2017-01-02,100523,10.0
2017-01-02,100556,11.0
2017-01-02,100554,6.0
2017-01-02,100547,2.0
2017-01-02,100545,9.0
2017-01-02,100524,5.0
2017-01-02,100528,6.0
2017-01-02,100526,5.0
2017-01-02,100558,3.0
2017-01-02,100544,2.0
2017-01-02,100591,13.0
2017-01-02,100652,3.0
2017-01-02,100530,2.0
2017-01-02,100613,3.0
2017-01-02,100602,4.0
2017-01-02,100612,6.0
2017-01-02,100517,1.0
2017-01-02,100691,2.0
2017-01-02,100686,18.0
2017-01-02,100650,1.0
2017-01-02,100639,1.0
2017-01-02,100638,1.0
2017-01-02,100621,2.0
2017-01-02,100614,2.0
2017-01-02,100645,2.0
2017-01-03,100188,1.0
2017-01-03,100176,16.0
2017-01-03,100192,5.0
2017-01-03,100184,1.0
2017-01-03,100182,2.0
2017-01-03,100140,1.0
2017-01-03,100003,8.0
2017-01-03,100035,39.0
2017-01-03,100010,6.0
2017-01-03,100006,10.0
2017-01-03,100001,14.0
2017-01-03,100193,2.0
2017-01-03,100045,1.0
2017-01-03,100165,10.0
2017-01-03,100245,10.0
2017-01-03,100225,1.0
2017-01-03,100455,1.0
2017-01-03,100454,1.0
2017-01-03,100450,2.0
2017-01-03,100448,6.0
2017-01-03,100418,1.0
2017-01-03,100417,1.0
2017-01-03,100462,1.0
2017-01-03,100370,5.0
2017-01-03,100346,40.0
2017-01-03,100259,4.0
2017-01-03,100257,7.0
2017-01-03,100386,9.0
2017-01-03,100469,1.0
2017-01-03,100228,2.0
2017-01-03,100464,1.0
2017-01-03,100686,19.0
2017-01-03,100471,4.0
2017-01-03,100554,4.0
2017-01-03,100553,3.0
2017-01-03,100547,1.0
2017-01-03,100556,5.0
2017-01-03,100544,2.0
2017-01-03,100516,4.0
2017-01-03,100526,6.0
2017-01-03,100525,3.0
2017-01-03,100524,9.0
2017-01-03,100523,9.0
2017-01-03,100558,4.0
2017-01-03,100528,4.0
2017-01-03,100591,5.0
2017-01-03,100652,5.0
2017-01-03,100545,1.0
2017-01-03,100607,1.0
2017-01-03,100602,4.0
2017-01-03,100596,2.0
2017-01-03,100691,3.0
2017-01-03,100473,4.0
2017-01-03,100651,2.0
2017-01-03,100646,1.0
2017-01-03,100510,7.0
2017-01-03,100639,7.0
2017-01-03,100621,1.0
2017-01-03,100614,6.0
2017-01-03,100645,6.0
2017-01-03,100613,2.0
2017-01-03,100612,9.0
2017-01-03,100611,4.0
2017-01-04,100193,6.0
2017-01-04,100192,5.0
2017-01-04,100184,2.0
2017-01-04,100182,3.0
2017-01-04,100176,32.0
2017-01-04,100045,2.0
2017-01-04,100227,1.0
2017-01-04,100035,47.0
2017-01-04,100010,7.0
2017-01-04,100006,12.0
2017-01-04,100001,3.0
2017-01-04,100510,16.0
2017-01-04,100165,20.0
2017-01-04,100228,1.0
2017-01-04,100257,2.0
2017-01-04,100003,2.0
2017-01-04,100259,2.0
2017-01-04,100471,3.0
2017-01-04,100469,5.0
2017-01-04,100455,4.0
2017-01-04,100450,1.0
2017-01-04,100470,6.0
2017-01-04,100417,1.0
2017-01-04,100390,1.0
2017-01-04,100386,6.0
2017-01-04,100370,3.0
2017-01-04,100346,22.0
2017-01-04,100474,1.0
2017-01-04,100448,7.0
2017-01-04,100245,6.0
2017-01-04,100453,1.0
2017-01-04,100516,8.0
2017-01-04,100604,1.0
2017-01-04,100454,3.0
2017-01-04,100591,8.0
2017-01-04,100558,3.0
2017-01-04,100556,9.0
2017-01-04,100554,7.0
2017-01-04,100553,13.0
2017-01-04,100528,3.0
2017-01-04,100544,3.0
2017-01-04,100530,3.0
2017-01-04,100526,1.0
2017-01-04,100525,4.0
2017-01-04,100524,4.0
2017-01-04,100545,3.0
2017-01-04,100602,4.0
2017-01-04,100596,1.0
2017-01-04,100607,3.0
2017-01-04,100523,8.0
2017-01-04,100686,20.0
2017-01-04,100652,4.0
2017-01-04,100651,1.0
2017-01-04,100650,3.0
2017-01-04,100646,2.0
2017-01-04,100691,3.0
2017-01-04,100639,2.0
2017-01-04,100638,1.0
2017-01-04,100614,4.0
2017-01-04,100613,6.0
2017-01-04,100612,6.0
2017-01-04,100645,4.0
2017-01-04,100611,11.0
2017-01-05,100346,61.0
2017-01-05,100348,1.0
2017-01-05,100354,1.0
2017-01-05,100370,6.0
2017-01-05,100386,12.0
2017-01-05,100448,3.0
2017-01-05,100417,1.0
2017-01-05,100454,4.0
2017-01-05,100455,1.0
2017-01-05,100462,2.0
2017-01-05,100259,4.0
2017-01-05,100399,1.0
2017-01-05,100510,9.0
2017-01-05,100006,14.0
2017-01-05,100228,2.0
2017-01-05,100473,2.0
2017-01-05,100470,5.0
